"Sequence","Counter","Date"
"2-421 0-111 2-142 1-223 1-232 2-214 1-322 2-214 0-111 1-223 0-111 1-322 2-142 1-232 0-111 2-421 0-111","98937262","9/3/2025 9:32:16 AM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-142","25","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-142","25","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-214","26","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-142","25","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-214","26","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-241","27","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-142","25","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-214","26","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-241","27","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-412","28","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-142","25","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-214","26","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-241","27","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-412","28","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-421","29","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-142","25","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-214","26","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-241","27","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-412","28","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-421","29","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-214 2-124","31","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-142","25","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-214","26","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-241","27","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-412","28","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-421","29","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-214 2-124","31","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-214 2-142","32","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-124","17","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-142","18","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-214","19","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-241","20","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-412","21","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-124 2-421","22","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-124","24","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-142","25","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-214","26","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-241","27","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-412","28","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-142 2-421","29","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-214 2-124","31","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-214 2-142","32","9/3/2025 4:49:36 PM"
"0-111 0-111 0-111 0-111 0-111 1-223 1-223 1-223 1-223 1-223 1-223 2-124 2-124 2-124 2-124 2-214 2-214","33","9/3/2025 4:49:36 PM"
